"","Indicator.Name","Indicator.Code","Year.Month","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cabo Verde","Cameroon","Central African Republic","Chad","Comoros","Côte d'Ivoire","Democratic Republic of the Congo","Djibouti","Egypt","Equatorial Guinea","Eswatini","Ethiopia","Gabon","Ghana","Guinea","Guinea-Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Republic of Congo","Rwanda","São Tomé and Príncipe","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","South Sudan","Sudan","Tanzania","The Gambia","Togo","Tunisia","Uganda","Zambia","Zimbabwe"
"1","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-01-31",0,0.14,NA,NA,NA,0.86,1.86,NA,NA,NA,NA,1.34,NA,NA,NA,NA,0.89,2.15,NA,NA,0.74,NA,NA,0.29,5.54,NA,0.26,NA,NA,NA,0.66,0.1,0.41,0.29,NA,0.54,1.8,0.23,NA,1.13,2.12,7.56,NA,NA,-5.49,2.69,NA,0.13,0.65,0,NA,NA,NA
"2","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-02-29",0,0.34,0.41,NA,NA,-0.21,0.61,NA,NA,NA,NA,0.66,NA,NA,NA,NA,0.11,6.48,NA,NA,1.29,NA,NA,0.1,1.47,NA,0.77,NA,NA,NA,0.56,-0.19,0.18,0.35,NA,0.33,7.79,2.6,NA,0.06,0.62,0,NA,-0.57,2.61,0.39,NA,-0.08,0,0.21,NA,NA,NA
"3","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-03-31",0.01,0.52,0.71,NA,NA,3.67,-0.4,NA,NA,NA,NA,1.97,NA,NA,NA,NA,0.15,3.94,NA,NA,3.19,NA,NA,0.53,-0.17,NA,1.29,NA,NA,NA,0.56,0,0.92,0.39,NA,2.54,0,7.46,NA,0.76,2.17,0.27,NA,0.58,6.12,0.68,NA,0,0.02,0.26,NA,NA,NA
"4","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-04-30",0.37,0.8,0.2,NA,NA,-0.71,1.72,NA,NA,NA,NA,1.77,NA,NA,NA,NA,0.74,0.78,NA,NA,3.18,NA,NA,0.59,1.1,NA,0.57,NA,NA,NA,0.37,0.29,0.33,2.24,NA,1.38,0,4.66,NA,0.95,-0.11,0.36,NA,0.72,-2.23,0.58,NA,0.85,3.61,0.24,NA,NA,NA
"5","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-05-31",0,0.21,0.71,NA,NA,3.55,0,NA,NA,NA,NA,0.55,NA,NA,NA,NA,1.49,3.61,NA,NA,0.84,NA,NA,0.28,0.48,NA,-0.22,NA,NA,NA,-0.28,0.19,0.26,1.45,NA,2.61,0,1.14,NA,0.22,-0.16,0.45,NA,0.14,1.98,-0.29,NA,0.02,1.26,0.29,NA,NA,NA
"6","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-06-30",0.02,1.01,0.2,NA,NA,0.34,0.7,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.89,2.41,NA,NA,1.51,NA,NA,0.78,0.28,NA,1.04,NA,NA,NA,0.55,0.19,0.19,1.06,NA,3.14,0,0.25,NA,0.73,1.18,0.27,NA,0.85,2.21,2.68,NA,0.55,0.03,0.19,NA,NA,NA
"7","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-07-31",-0.01,0.2,0.1,NA,NA,0.98,0.79,NA,NA,NA,NA,1.42,NA,NA,NA,NA,1.7,2.21,NA,NA,2.07,NA,NA,0.53,-0.3,NA,1.41,NA,NA,NA,1.37,0.19,0.37,0.7,NA,1.68,-0.1,0.74,NA,0.29,1.39,1.85,NA,0.14,-1.66,-0.37,NA,0.18,0,0.74,NA,NA,NA
"8","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-08-31",0.55,0.05,0.3,NA,NA,2.46,1.28,NA,NA,NA,NA,0.28,NA,NA,NA,NA,2.19,2.06,NA,NA,0.23,NA,NA,0.78,9.23,NA,0.44,NA,NA,NA,0.81,0.19,0.61,1.31,NA,-0.4,0.1,1.85,NA,-0.09,2.87,0,NA,0.85,0.54,0,NA,0.77,0.13,0.1,NA,NA,NA
"9","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-09-30",0,0.06,0.3,NA,NA,-0.08,-0.29,NA,NA,NA,NA,0.3,NA,NA,NA,NA,0.96,1.11,NA,NA,5.65,NA,NA,0.73,4.95,NA,1.82,NA,NA,NA,-0.09,0,0.95,2.27,NA,-0.09,0,1.34,NA,0.01,1.66,0.4,NA,0.98,4.76,0.02,NA,0.16,0.12,0.41,NA,NA,NA
"10","Furnishings, household equipment and routine household maintenance","PCPIHO_PC_PP_PT","2008-10-31",0.01,1.14,-0.2,NA,NA,-0.4,-0.39,NA,NA,NA,NA,0.12,NA,NA,NA,NA,0.8,1.63,NA,NA,-0.8,NA,NA,0.43,0.14,NA,0.35,NA,NA,NA,0.09,0.29,0.37,1.98,NA,0.76,-0.1,1.58,NA,0.98,1.05,0.18,NA,0.41,0.69,2.59,NA,0.13,1.22,0.42,NA,NA,NA
